antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0, verified=0",0.023700050158836316,0.1919829459956529,0.01876776458786156,0.7918871252204585,4.124778485472294,1.0,0.014217759138123422,3.8825904205124115,0.7759528602852995,0.09530885162385905,0.7424399970914204,0.44482229111012034
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0, verified=0",0.023700050158836316,0.1919829459956529,0.01876776458786156,0.7918871252204585,4.124778485472294,1.0,0.014217759138123422,3.8825904205124115,0.7759528602852995,0.09530885162385905,0.7424399970914204,0.44482229111012034
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0, verified=0",0.023700050158836316,0.1919829459956529,0.01876776458786156,0.7918871252204585,4.124778485472294,1.0,0.014217759138123422,3.8825904205124115,0.7759528602852995,0.09530885162385905,0.7424399970914204,0.44482229111012034
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0",0.023700050158836316,0.19301398874212786,0.018823496628211558,0.794238683127572,4.114928085283483,1.0,0.01424905541366606,3.9219520147132574,0.7753584206929123,0.09512074913750616,0.7450249273197412,0.4458813425743974
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0",0.023700050158836316,0.19301398874212786,0.018823496628211558,0.794238683127572,4.114928085283483,1.0,0.01424905541366606,3.9219520147132574,0.7753584206929123,0.09512074913750616,0.7450249273197412,0.4458813425743974
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0",0.023700050158836316,0.19301398874212786,0.018823496628211558,0.794238683127572,4.114928085283483,1.0,0.01424905541366606,3.9219520147132574,0.7753584206929123,0.09512074913750616,0.7450249273197412,0.4458813425743974
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, sensitive=0",0.023630385108398818,0.19301398874212786,0.01876776458786156,0.7942216981132075,4.1148400864059145,1.0,0.014206769702576925,3.9216282953964217,0.7752977751210658,0.09484579636670891,0.7450038798491191,0.4457284770072282
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, sensitive=0",0.023630385108398818,0.19301398874212786,0.01876776458786156,0.7942216981132075,4.1148400864059145,1.0,0.014206769702576925,3.9216282953964217,0.7752977751210658,0.09484579636670891,0.7450038798491191,0.4457284770072282
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0",0.023630385108398818,0.19301398874212786,0.01876776458786156,0.7942216981132075,4.1148400864059145,1.0,0.014206769702576925,3.9216282953964217,0.7752977751210658,0.09484579636670891,0.7450038798491191,0.4457284770072282
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, verified=0",0.018294042244886587,0.20045421612885247,0.01500585186423675,0.8202589489718203,4.09200147950271,1.0,0.011338733966209897,4.448320399249224,0.769701768387189,0.07365109758599467,0.7751960492394439,0.4475590984519906
"any_harmful=1, engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, verified=0",0.018294042244886587,0.20045421612885247,0.01500585186423675,0.8202589489718203,4.09200147950271,1.0,0.011338733966209897,4.448320399249224,0.769701768387189,0.07365109758599467,0.7751960492394439,0.4475590984519906
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, verified=0",0.018294042244886587,0.20045421612885247,0.01500585186423675,0.8202589489718203,4.09200147950271,1.0,0.011338733966209897,4.448320399249224,0.769701768387189,0.07365109758599467,0.7751960492394439,0.4475590984519906
"label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.023588586078136322,0.19513180627542775,0.01876776458786156,0.7956290608387477,4.077392999251596,1.0,0.014164881178951412,3.938271248484684,0.7729787253674565,0.09386105497874711,0.746081481719989,0.4459044982879922
"any_harmful=1, label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.023588586078136322,0.19513180627542775,0.01876776458786156,0.7956290608387477,4.077392999251596,1.0,0.014164881178951412,3.938271248484684,0.7729787253674565,0.09386105497874711,0.746081481719989,0.4459044982879922
"label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, verified=0",0.023588586078136322,0.19513180627542775,0.01876776458786156,0.7956290608387477,4.077392999251596,1.0,0.014164881178951412,3.938271248484684,0.7729787253674565,0.09386105497874711,0.746081481719989,0.4459044982879922
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","engagement=low, label=Conspiracy, verified=0",0.027266900741236135,0.13505266677813074,0.01500585186423675,0.5503321410321922,4.074944643161302,1.0,0.01132338420435822,1.9235249217218162,0.7757501969490798,0.10186323654591886,0.4801211106197345,0.3307216260716517
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","engagement=low, label=Conspiracy, verified=0",0.027266900741236135,0.13505266677813074,0.01500585186423675,0.5503321410321922,4.074944643161302,1.0,0.01132338420435822,1.9235249217218162,0.7757501969490798,0.10186323654591886,0.4801211106197345,0.3307216260716517
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, engagement=low, label=Conspiracy, verified=0",0.027266900741236135,0.13505266677813074,0.01500585186423675,0.5503321410321922,4.074944643161302,1.0,0.01132338420435822,1.9235249217218162,0.7757501969490798,0.10186323654591886,0.4801211106197345,0.3307216260716517
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0, verified=0",0.027266900741236135,0.1919829459956529,0.021331438443961435,0.7823198773633113,4.0749446431613014,1.0,0.01609665851148787,3.7119468889354654,0.7757501969490797,0.10777895107356565,0.7305995937116476,0.44671549423721124
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0, verified=0",0.027266900741236135,0.1919829459956529,0.021331438443961435,0.7823198773633113,4.0749446431613014,1.0,0.01609665851148787,3.7119468889354654,0.7757501969490797,0.10777895107356565,0.7305995937116476,0.44671549423721124
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0, verified=0",0.027266900741236135,0.1919829459956529,0.021331438443961435,0.7823198773633113,4.0749446431613014,1.0,0.01609665851148787,3.7119468889354654,0.7757501969490797,0.10777895107356565,0.7305995937116476,0.44671549423721124
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","engagement=low, label=Conspiracy",0.02719723569079864,0.13541492504040573,0.01500585186423675,0.5517418032786885,4.07445341135076,1.0,0.011322940231861006,1.928765790081289,0.7756642295734862,0.1016613177270153,0.48153373253377,0.33127783650918685
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","engagement=low, label=Conspiracy",0.02719723569079864,0.13541492504040573,0.01500585186423675,0.5517418032786885,4.07445341135076,1.0,0.011322940231861006,1.928765790081289,0.7756642295734862,0.1016613177270153,0.48153373253377,0.33127783650918685
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, engagement=low, label=Conspiracy",0.02719723569079864,0.13541492504040573,0.01500585186423675,0.5517418032786885,4.07445341135076,1.0,0.011322940231861006,1.928765790081289,0.7756642295734862,0.1016613177270153,0.48153373253377,0.33127783650918685
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.023700050158836316,0.19513180627542775,0.018823496628211558,0.794238683127572,4.070267673361806,1.0,0.01419886303189959,3.91165942150142,0.7726272160812759,0.09411354928596308,0.7443540215941988,0.44535211557306836
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.023700050158836316,0.19513180627542775,0.018823496628211558,0.794238683127572,4.070267673361806,1.0,0.01419886303189959,3.91165942150142,0.7726272160812759,0.09411354928596308,0.7443540215941988,0.44535211557306836
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, verified=0",0.023700050158836316,0.19513180627542775,0.018823496628211558,0.794238683127572,4.070267673361806,1.0,0.01419886303189959,3.91165942150142,0.7726272160812759,0.09411354928596308,0.7443540215941988,0.44535211557306836
"label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism",0.023588586078136322,0.1961628490219027,0.018823496628211558,0.7979917306556408,4.06800642748893,1.0,0.014196292378725946,3.9792289374442045,0.7723991499537336,0.09368282365994035,0.7486950321983022,0.44697512521843763
"any_harmful=1, label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism",0.023588586078136322,0.1961628490219027,0.018823496628211558,0.7979917306556408,4.06800642748893,1.0,0.014196292378725946,3.9792289374442045,0.7723991499537336,0.09368282365994035,0.7486950321983022,0.44697512521843763
"label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism",0.023588586078136322,0.1961628490219027,0.018823496628211558,0.7979917306556408,4.06800642748893,1.0,0.014196292378725946,3.9792289374442045,0.7723991499537336,0.09368282365994035,0.7486950321983022,0.44697512521843763
"label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism",0.023518921027698824,0.1961628490219027,0.01876776458786156,0.7979857819905213,4.067976102352702,1.0,0.014154226033147024,3.979111762026475,0.7723421680810898,0.09341192787794729,0.7486876318621617,0.4468300953421603
"any_harmful=1, label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism",0.023518921027698824,0.1961628490219027,0.01876776458786156,0.7979857819905213,4.067976102352702,1.0,0.014154226033147024,3.979111762026475,0.7723421680810898,0.09341192787794729,0.7486876318621617,0.4468300953421603
"label=Speculation, period=post_election, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism",0.023518921027698824,0.1961628490219027,0.01876776458786156,0.7979857819905213,4.067976102352702,1.0,0.014154226033147024,3.979111762026475,0.7723421680810898,0.09341192787794729,0.7486876318621617,0.4468300953421603
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election",label=Conspiracy,0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0",label=Conspiracy,0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"any_harmful=1, engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election",label=Conspiracy,0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy",0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"any_harmful=1, engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0",label=Conspiracy,0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"engagement=low, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy",0.018294042244886587,0.20166638800646491,0.01500585186423675,0.8202589489718203,4.067405367252003,1.0,0.011316558442672792,4.441576409099626,0.7681964380979092,0.07321549966009518,0.7748547119551377,0.4473341172937034
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","engagement=low, label=Conspiracy",0.027266900741236135,0.13541492504040573,0.01500585186423675,0.5503321410321922,4.064043463953339,1.0,0.011313506544278075,1.9227193087453707,0.7750734914152677,0.10161335975091991,0.47990328309932634,0.3305730053859387
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","engagement=low, label=Conspiracy",0.027266900741236135,0.13541492504040573,0.01500585186423675,0.5503321410321922,4.064043463953339,1.0,0.011313506544278075,1.9227193087453707,0.7750734914152677,0.10161335975091991,0.47990328309932634,0.3305730053859387
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, engagement=low, label=Conspiracy",0.027266900741236135,0.13541492504040573,0.01500585186423675,0.5503321410321922,4.064043463953339,1.0,0.011313506544278075,1.9227193087453707,0.7750734914152677,0.10161335975091991,0.47990328309932634,0.3305730053859387
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0",0.027266900741236135,0.19301398874212786,0.02138717048431143,0.7843638221768013,4.063766710840495,1.0,0.016124277211609764,3.742349819980229,0.7750562643337756,0.10753064798598949,0.7327882084509986,0.44758507285841437
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, sensitive=0",0.027266900741236135,0.19301398874212786,0.02138717048431143,0.7843638221768013,4.063766710840495,1.0,0.016124277211609764,3.742349819980229,0.7750562643337756,0.10753064798598949,0.7327882084509986,0.44758507285841437
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0",0.027266900741236135,0.19301398874212786,0.02138717048431143,0.7843638221768013,4.063766710840495,1.0,0.016124277211609764,3.742349819980229,0.7750562643337756,0.10753064798598949,0.7327882084509986,0.44758507285841437
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, sensitive=0",0.02719723569079864,0.19301398874212786,0.021331438443961435,0.7843237704918034,4.06355920419676,1.0,0.01608199150052063,3.741654855048378,0.7749878431446656,0.1072579515202466,0.732738577249913,0.4474206739559284
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, sensitive=0",0.02719723569079864,0.19301398874212786,0.021331438443961435,0.7843237704918034,4.06355920419676,1.0,0.01608199150052063,3.741654855048378,0.7749878431446656,0.1072579515202466,0.732738577249913,0.4474206739559284
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism, sensitive=0",0.02719723569079864,0.19301398874212786,0.021331438443961435,0.7843237704918034,4.06355920419676,1.0,0.01608199150052063,3.741654855048378,0.7749878431446656,0.1072579515202466,0.732738577249913,0.4474206739559284
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism",0.023700050158836316,0.1961628490219027,0.018879228668561555,0.7965902410346853,4.060861906352826,1.0,0.014230159307442225,3.9518121208489667,0.7720443486919778,0.09393414211438475,0.7469515327603251,0.44641643595167746
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism",0.023700050158836316,0.1961628490219027,0.018879228668561555,0.7965902410346853,4.060861906352826,1.0,0.014230159307442225,3.9518121208489667,0.7720443486919778,0.09393414211438475,0.7469515327603251,0.44641643595167746
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism",0.023700050158836316,0.1961628490219027,0.018879228668561555,0.7965902410346853,4.060861906352826,1.0,0.014230159307442225,3.9518121208489667,0.7720443486919778,0.09393414211438475,0.7469515327603251,0.44641643595167746
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism",0.023630385108398818,0.1961628490219027,0.018823496628211558,0.7965801886792453,4.06081066140257,1.0,0.014188092961863304,3.9516168349531973,0.7719860797005463,0.09366333887964502,0.7469390272977101,0.4462693542302399
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism",0.023630385108398818,0.1961628490219027,0.018823496628211558,0.7965801886792453,4.06081066140257,1.0,0.014188092961863304,3.9516168349531973,0.7719860797005463,0.09366333887964502,0.7469390272977101,0.4462693542302399
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism",0.023630385108398818,0.1961628490219027,0.018823496628211558,0.7965801886792453,4.06081066140257,1.0,0.014188092961863304,3.9516168349531973,0.7719860797005463,0.09366333887964502,0.7469390272977101,0.4462693542302399
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0, verified=0",0.027266900741236135,0.170108120158279,0.01876776458786156,0.6882984159427695,4.046240798512938,1.0,0.014129443360227497,2.662456407951226,0.7739605270286659,0.10507839925111162,0.6244069961057108,0.3993134310854809
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0, verified=0",0.027266900741236135,0.170108120158279,0.01876776458786156,0.6882984159427695,4.046240798512938,1.0,0.014129443360227497,2.662456407951226,0.7739605270286659,0.10507839925111162,0.6244069961057108,0.3993134310854809
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0, verified=0",0.027266900741236135,0.170108120158279,0.01876776458786156,0.6882984159427695,4.046240798512938,1.0,0.014129443360227497,2.662456407951226,0.7739605270286659,0.10507839925111162,0.6244069961057108,0.3993134310854809
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.027266900741236135,0.17094410076352895,0.018823496628211558,0.6903423607562595,4.038409969532828,1.0,0.014162380800392546,2.6773306844979765,0.7734678617958968,0.10493203883495145,0.6264936543736999,0.4002286422739648
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.027266900741236135,0.17094410076352895,0.018823496628211558,0.6903423607562595,4.038409969532828,1.0,0.014162380800392546,2.6773306844979765,0.7734678617958968,0.10493203883495145,0.6264936543736999,0.4002286422739648
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.027266900741236135,0.17094410076352895,0.018823496628211558,0.6903423607562595,4.038409969532828,1.0,0.014162380800392546,2.6773306844979765,0.7734678617958968,0.10493203883495145,0.6264936543736999,0.4002286422739648
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.02719723569079864,0.17094410076352895,0.01876776458786156,0.690061475409836,4.036766828031197,1.0,0.014118557589444233,2.6749043228257703,0.7733088606039031,0.10462948578530372,0.6261548529169075,0.399925187130299
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.02719723569079864,0.17094410076352895,0.01876776458786156,0.690061475409836,4.036766828031197,1.0,0.014118557589444233,2.6749043228257703,0.7733088606039031,0.10462948578530372,0.6261548529169075,0.399925187130299
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election, verified=0","any_harmful=1, label=Conspiracy, label=Sensationalism, period=post_election, sensitive=0",0.02719723569079864,0.17094410076352895,0.01876776458786156,0.690061475409836,4.036766828031197,1.0,0.014118557589444233,2.6749043228257703,0.7733088606039031,0.10462948578530372,0.6261548529169075,0.399925187130299
"label=Sensationalism, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, sensitive=0, verified=0",0.02357465306804882,0.19727748982890264,0.01876776458786156,0.7960992907801419,4.035428935509029,1.0,0.014117016207009652,3.936830397708686,0.7703557372547823,0.09287093215664644,0.7459885494223932,0.4456165639577664
"any_harmful=1, label=Sensationalism, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, sensitive=0, verified=0",0.02357465306804882,0.19727748982890264,0.01876776458786156,0.7960992907801419,4.035428935509029,1.0,0.014117016207009652,3.936830397708686,0.7703557372547823,0.09287093215664644,0.7459885494223932,0.4456165639577664
"label=Sensationalism, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, sensitive=0, verified=0",0.02357465306804882,0.19727748982890264,0.01876776458786156,0.7960992907801419,4.035428935509029,1.0,0.014117016207009652,3.936830397708686,0.7703557372547823,0.09287093215664644,0.7459885494223932,0.4456165639577664
"label=Speculation, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.027113637630273645,0.19513180627542775,0.021331438443961435,0.7867420349434738,4.031849291821707,1.0,0.01604070535846873,3.7741530240675134,0.7729318503998827,0.10617198335644938,0.73503989010963,0.4480300678109015
"any_harmful=1, label=Speculation, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.027113637630273645,0.19513180627542775,0.021331438443961435,0.7867420349434738,4.031849291821707,1.0,0.01604070535846873,3.7741530240675134,0.7729318503998827,0.10617198335644938,0.73503989010963,0.4480300678109015
"label=Speculation, sensitive=0, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, verified=0",0.027113637630273645,0.19513180627542775,0.021331438443961435,0.7867420349434738,4.031849291821707,1.0,0.01604070535846873,3.7741530240675134,0.7729318503998827,0.10617198335644938,0.73503989010963,0.4480300678109015
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, sensitive=0, verified=0",0.023700050158836316,0.19727748982890264,0.01883742963829906,0.7948265726043504,4.0289775244692025,1.0,0.014161943234144745,3.9124097128969533,0.7700482515663107,0.0931899641577061,0.7444030473844347,0.4451567710115473
"any_harmful=1, label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, sensitive=0, verified=0",0.023700050158836316,0.19727748982890264,0.01883742963829906,0.7948265726043504,4.0289775244692025,1.0,0.014161943234144745,3.9124097128969533,0.7700482515663107,0.0931899641577061,0.7444030473844347,0.4451567710115473
"label=Speculation, period=post_election, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, sensitive=0, verified=0",0.023700050158836316,0.19727748982890264,0.01883742963829906,0.7948265726043504,4.0289775244692025,1.0,0.014161943234144745,3.9124097128969533,0.7700482515663107,0.0931899641577061,0.7444030473844347,0.4451567710115473
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.027266900741236135,0.19513180627542775,0.021428969514573928,0.7858967807869187,4.027517583051677,1.0,0.016108329921403722,3.7592531148424526,0.7727793973800534,0.10662784248474763,0.733989712995979,0.447857351478786
"any_harmful=1, label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","label=Conspiracy, label=Sensationalism, verified=0",0.027266900741236135,0.19513180627542775,0.021428969514573928,0.7858967807869187,4.027517583051677,1.0,0.016108329921403722,3.7592531148424526,0.7727793973800534,0.10662784248474763,0.733989712995979,0.447857351478786
"label=Speculation, sentiment=very_negative, topic=2020 / 2020 election / votes / election","any_harmful=1, label=Conspiracy, label=Sensationalism, verified=0",0.027266900741236135,0.19513180627542775,0.021428969514573928,0.7858967807869187,4.027517583051677,1.0,0.016108329921403722,3.7592531148424526,0.7727793973800534,0.10662784248474763,0.733989712995979,0.447857351478786
